date,activityType,steps,grossCalories,calories,distanceInMeters,activeTimeInSeconds
"03/11/2017, 00:00:00 +0800",Pedometer,2215.0,0.0,0.0,1367.0,0.0
"03/12/2017, 00:00:00 +0800",Pedometer,639.0,0.0,0.0,440.0,0.0
"03/13/2017, 00:00:00 +0800",Pedometer,8158.0,0.0,0.0,4741.0,0.0
"03/14/2017, 00:00:00 +0800",Pedometer,7664.0,0.0,0.0,4511.0,0.0
"03/15/2017, 00:00:00 +0800",Pedometer,5575.0,0.0,0.0,3107.0,0.0
"03/16/2017, 00:00:00 +0800",Pedometer,6018.0,0.0,0.0,3458.0,0.0
"03/17/2017, 00:00:00 +0800",Pedometer,2551.0,0.0,0.0,1692.0,0.0
"03/18/2017, 00:00:00 +0800",Pedometer,3103.0,0.0,0.0,1801.0,0.0
"03/19/2017, 00:00:00 +0800",Pedometer,13085.0,0.0,0.0,7786.0,0.0
"03/20/2017, 00:00:00 +0800",Pedometer,8640.0,0.0,0.0,5397.0,0.0
"03/21/2017, 00:00:00 +0800",Pedometer,8485.0,0.0,0.0,5110.0,0.0
"03/22/2017, 00:00:00 +0800",Pedometer,12481.0,0.0,0.0,7426.0,0.0
"03/23/2017, 00:00:00 +0800",Pedometer,192.0,0.0,0.0,121.0,0.0
"03/24/2017, 00:00:00 +0800",Pedometer,16553.0,0.0,0.0,10011.0,0.0
"03/25/2017, 00:00:00 +0800",Pedometer,5723.0,0.0,0.0,3333.0,0.0
"03/26/2017, 00:00:00 +0800",Pedometer,6507.0,0.0,0.0,3899.0,0.0
"03/27/2017, 00:00:00 +0800",Pedometer,5122.0,0.0,0.0,3172.0,0.0
"03/28/2017, 00:00:00 +0800",Pedometer,7180.0,0.0,0.0,4342.0,0.0
"03/29/2017, 00:00:00 +0800",Pedometer,5110.0,0.0,0.0,3104.0,0.0
"03/30/2017, 00:00:00 +0800",Pedometer,11389.0,0.0,0.0,6915.0,0.0
"03/31/2017, 00:00:00 +0800",Pedometer,13091.0,0.0,0.0,8080.0,0.0
"04/01/2017, 00:00:00 +0800",Pedometer,11204.0,0.0,0.0,7146.0,0.0
"04/02/2017, 00:00:00 +0800",Pedometer,10183.0,0.0,0.0,5970.0,0.0
"04/03/2017, 00:00:00 +0800",Pedometer,4721.0,0.0,0.0,2787.0,0.0
"04/04/2017, 00:00:00 +0800",Pedometer,10351.0,0.0,0.0,6391.0,0.0
