com.samsung.shealth.tracker.pedometer_day_summary,6123001,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
11412,0af7a275-c50f-4639-8fd2-0aba9a659f9b.binning_data.json,6459763,6000,0,2019-04-12 13:41:32.603,com.sec.android.app.shealth,2019-04-11 14:27:27.011,0af7a275-c50f-4639-8fd2-0aba9a659f9b.source_info.json,1.333058,8611.239,466.38995,11412,VfS0qUERdZ,com.sec.android.app.shealth,0,0af7a275-c50f-4639-8fd2-0aba9a659f9b.achievement.json,0af7a275-c50f-4639-8fd2-0aba9a659f9b,1555027200000,
8576,983206aa-da16-488e-ac7a-c3169c1817a1.binning_data.json,4698574,6000,28,2019-02-16 15:19:20.189,com.sec.android.app.shealth,2019-02-15 16:10:31.497,983206aa-da16-488e-ac7a-c3169c1817a1.source_info.json,1.3565754,6373.97,366.56,8548,VfS0qUERdZ,com.sec.android.app.shealth,0,983206aa-da16-488e-ac7a-c3169c1817a1.achievement.json,983206aa-da16-488e-ac7a-c3169c1817a1,1550275200000,
10030,97b78234-e867-411f-8a20-919bd245df33.binning_data.json,5343879,6000,7,2019-04-14 14:00:00.963,com.sec.android.app.shealth,2019-04-14 14:00:00.963,,6.944443,7722.56,408.51996,10023,NakFKIhnVg,com.sec.android.app.shealth,5663,97b78234-e867-411f-8a20-919bd245df33.achievement.json,97b78234-e867-411f-8a20-919bd245df33,1555200000000,
15150,da43134a-e984-4551-a338-2edddf1f3c70.binning_data.json,8266248,6000,0,2019-03-03 13:00:00.825,com.sec.android.app.shealth,2019-03-03 13:00:00.825,,1.911436,11564.67,615.63995,15150,NakFKIhnVg,com.sec.android.app.shealth,9621,da43134a-e984-4551-a338-2edddf1f3c70.achievement.json,da43134a-e984-4551-a338-2edddf1f3c70,1551571200000,
9807,9ecd0a7a-dbab-4f2b-b7cf-ef599b34d98a.binning_data.json,4959771,6000,0,2019-02-20 00:52:07.133,com.sec.android.app.shealth,2019-02-19 01:06:13.209,,1.7392776,7334.638,385.52,9807,DQFceaQIwH,com.sec.android.app.shealth,0,9ecd0a7a-dbab-4f2b-b7cf-ef599b34d98a.achievement.json,9ecd0a7a-dbab-4f2b-b7cf-ef599b34d98a,1550534400000,
11647,267a13f8-484e-4d2e-b42a-488406195f79.binning_data.json,6319122,6000,28,2019-03-06 13:00:00.997,com.sec.android.app.shealth,2019-03-06 13:00:00.997,,1.9638603,8891.14,476.36996,11619,NakFKIhnVg,com.sec.android.app.shealth,4975,267a13f8-484e-4d2e-b42a-488406195f79.achievement.json,267a13f8-484e-4d2e-b42a-488406195f79,1551830400000,
6421,a6f4ce00-9efa-4f6b-a691-119cfcca2c45.binning_data.json,3277798,6000,0,2019-03-09 13:07:12.823,com.sec.android.app.shealth,2019-03-09 08:09:00.288,,1.7222222,4765.72,252.24,6421,DQFceaQIwH,com.sec.android.app.shealth,0,a6f4ce00-9efa-4f6b-a691-119cfcca2c45.achievement.json,a6f4ce00-9efa-4f6b-a691-119cfcca2c45,1552089600000,
13948,f1ea3bf1-59ad-435f-b28a-06aff6423cfe.binning_data.json,7207091,6000,644,2019-03-11 13:00:00.888,com.sec.android.app.shealth,2019-03-11 13:00:00.888,,3.5341911,11038.852,601.8098,13304,NakFKIhnVg,com.sec.android.app.shealth,8975,f1ea3bf1-59ad-435f-b28a-06aff6423cfe.achievement.json,f1ea3bf1-59ad-435f-b28a-06aff6423cfe,1552262400000,
8444,f817384c-7922-4fee-8906-338b514cfbbe.binning_data.json,4393234,6000,68,2019-03-14 13:00:01.130,com.sec.android.app.shealth,2019-03-14 13:00:01.130,,2.5,6477.3594,351.45996,8376,NakFKIhnVg,com.sec.android.app.shealth,5269,f817384c-7922-4fee-8906-338b514cfbbe.achievement.json,f817384c-7922-4fee-8906-338b514cfbbe,1552521600000,
1691,a764cf96-a40c-4504-8ec3-ab7d764b63a7.binning_data.json,952986,6000,4,2019-02-07 16:00:00.459,com.sec.android.app.shealth,2019-02-07 16:00:00.459,,4.388889,1268.47,71.2,1687,NakFKIhnVg,com.sec.android.app.shealth,0,a764cf96-a40c-4504-8ec3-ab7d764b63a7.achievement.json,a764cf96-a40c-4504-8ec3-ab7d764b63a7,1549497600000,
